TS,C1:M200.r2521[0],C2:M200.r2665,C3:M200.r78[0],Label
2020-08-04 13:36:12.341689,45002.0,45000.0,-1.6639009999999999,1
2020-08-04 13:36:12.346689,45002.0,45000.0,-1.622611,1
2020-08-04 13:36:12.351689,45002.0,45000.0,-1.6233229999999998,1
2020-08-04 13:36:12.356690,45002.0,45000.0,-1.589068,1
2020-08-04 13:36:12.361691,45002.0,45000.0,-1.614536,1
2020-08-04 13:36:12.367689,45002.0,45000.0,-1.57708,1
2020-08-04 13:36:12.373690,45002.0,45000.0,-1.6695790000000001,1
2020-08-04 13:36:12.379692,45002.0,45000.0,-1.601883,1
2020-08-04 13:36:12.385690,45002.0,45000.0,-1.5946559999999999,1
2020-08-04 13:36:12.390701,45002.0,45000.0,-1.5850879999999998,1
2020-08-04 13:36:12.396692,45002.0,45000.0,-1.628061,1
2020-08-04 13:36:12.403692,45002.0,45000.0,-1.538076,1
2020-08-04 13:36:12.409686,45002.0,45000.0,-1.579488,1
2020-08-04 13:36:12.414696,45002.0,45000.0,-1.6472650000000002,1
2020-08-04 13:36:12.419700,45002.0,45000.0,-1.5699670000000001,1
2020-08-04 13:36:12.425689,45002.0,45000.0,-1.5755540000000001,1
2020-08-04 13:36:12.430691,45002.0,45000.0,-1.5938290000000002,1
2020-08-04 13:36:12.436691,45002.0,45000.0,-1.553216,1
2020-08-04 13:36:12.442688,45002.0,45000.0,-1.6001729999999998,1
2020-08-04 13:36:12.447691,45002.0,45000.0,-1.572239,1
2020-08-04 13:36:12.452691,45002.0,45000.0,-1.543656,1
2020-08-04 13:36:12.458687,45002.0,45000.0,-1.554721,1
2020-08-04 13:36:12.463726,45002.0,45000.0,-1.586676,1
2020-08-04 13:36:12.469689,45002.0,45000.0,-1.534033,1
2020-08-04 13:36:12.474723,45002.0,45000.0,-1.566757,1
2020-08-04 13:36:12.479723,45002.0,45000.0,-1.569863,1
2020-08-04 13:36:12.484727,45002.0,45000.0,-1.545191,1
2020-08-04 13:36:12.490689,45002.0,45000.0,-1.545161,1
2020-08-04 13:36:12.496690,45002.0,45000.0,-1.580222,1
2020-08-04 13:36:12.501693,45002.0,45000.0,-1.5675139999999999,1
2020-08-04 13:36:12.507687,45002.0,45000.0,-1.523655,1
2020-08-04 13:36:12.512692,45002.0,45000.0,-1.546829,1
2020-08-04 13:36:12.518689,45002.0,45000.0,-1.574654,1
2020-08-04 13:36:12.524689,45002.0,45000.0,-1.541986,1
2020-08-04 13:36:12.529689,45002.0,45000.0,-1.5363719999999998,1
2020-08-04 13:36:12.534691,45002.0,45000.0,-1.530786,1
2020-08-04 13:36:12.540689,45002.0,45000.0,-1.5762559999999999,1
2020-08-04 13:36:12.545700,45002.0,45000.0,-1.592166,1
2020-08-04 13:36:12.551708,45002.0,45000.0,-1.55866,1
2020-08-04 13:36:12.557690,45002.0,45000.0,-1.573883,1
2020-08-04 13:36:12.562692,45002.0,45000.0,-1.5435510000000001,1
2020-08-04 13:36:12.568695,45002.0,45000.0,-1.582657,1
2020-08-04 13:36:12.574688,45002.0,45000.0,-1.594595,1
2020-08-04 13:36:12.579722,45002.0,45000.0,-1.576285,1
2020-08-04 13:36:12.584722,45002.0,45000.0,-1.553134,1
2020-08-04 13:36:12.590706,45002.0,45000.0,-1.52443,1
2020-08-04 13:36:12.595759,45002.0,45000.0,-1.541988,1
2020-08-04 13:36:12.601706,45002.0,45000.0,-1.579382,1
2020-08-04 13:36:12.607691,45002.0,45000.0,-1.59061,1
2020-08-04 13:36:12.612692,45002.0,45000.0,-1.592956,1
2020-08-04 13:36:12.618704,45002.0,45000.0,-1.580263,1
2020-08-04 13:36:12.624694,45002.0,45000.0,-1.5753979999999999,1
2020-08-04 13:36:12.630689,45002.0,45000.0,-1.577024,1
2020-08-04 13:36:12.635725,45002.0,45000.0,-1.581785,1
2020-08-04 13:36:12.641722,45002.0,45000.0,-1.541939,1
2020-08-04 13:36:12.647689,45002.0,45000.0,-1.532362,1
2020-08-04 13:36:12.652717,45002.0,45000.0,-1.5443040000000001,1
2020-08-04 13:36:12.658693,45002.0,45000.0,-1.529957,1
2020-08-04 13:36:12.664689,45002.0,45000.0,-1.53949,1
2020-08-04 13:36:12.669690,45002.0,45000.0,-1.506049,1
2020-08-04 13:36:12.675687,45002.0,45000.0,-1.512424,1
2020-08-04 13:36:12.680717,45002.0,45000.0,-1.516393,1
2020-08-04 13:36:12.685718,45002.0,45000.0,-1.516369,1
2020-08-04 13:36:12.691693,45002.0,45000.0,-1.524371,1
2020-08-04 13:36:12.697700,45002.0,45000.0,-1.488479,1
2020-08-04 13:36:12.703691,45002.0,45000.0,-1.497251,1
2020-08-04 13:36:12.709691,45002.0,45000.0,-1.4661440000000001,1
2020-08-04 13:36:12.714692,45002.0,45000.0,-1.4765190000000001,1
2020-08-04 13:36:12.720688,45002.0,45000.0,-1.474091,1
2020-08-04 13:36:12.725694,45002.0,45000.0,-1.485262,1
2020-08-04 13:36:12.730723,45002.0,45000.0,-1.5036049999999999,1
2020-08-04 13:36:12.736687,45001.0,45000.0,-1.407908,1
2020-08-04 13:36:12.741728,45001.0,45000.0,-1.472494,1
2020-08-04 13:36:12.747690,45001.0,45000.0,-1.4334280000000001,1
2020-08-04 13:36:12.752691,45001.0,45000.0,-1.404714,1
2020-08-04 13:36:12.757693,45001.0,45000.0,-1.4334040000000001,1
2020-08-04 13:36:12.763689,45001.0,45000.0,-1.4055090000000001,1
2020-08-04 13:36:12.768693,45001.0,45000.0,-1.458908,1
2020-08-04 13:36:12.774690,45001.0,45000.0,-1.404699,1
2020-08-04 13:36:12.779690,45001.0,45000.0,-1.402304,1
2020-08-04 13:36:12.785686,45001.0,45000.0,-1.366419,1
2020-08-04 13:36:12.790688,45001.0,45000.0,-1.438977,1
2020-08-04 13:36:12.795694,45001.0,45000.0,-1.3592389999999999,1
2020-08-04 13:36:12.800717,45001.0,45000.0,-1.388737,1
2020-08-04 13:36:12.806688,45001.0,45000.0,-1.3919270000000001,1
2020-08-04 13:36:12.811688,45001.0,45000.0,-1.3616219999999999,1
2020-08-04 13:36:12.817689,45001.0,45000.0,-1.375981,1
2020-08-04 13:36:12.823685,45001.0,45000.0,-1.413447,1
2020-08-04 13:36:12.828686,45001.0,45000.0,-1.37996,1
2020-08-04 13:36:12.833693,45001.0,45000.0,-1.382354,1
2020-08-04 13:36:12.839695,45001.0,45000.0,-1.348063,1
2020-08-04 13:36:12.850688,45001.0,45000.0,-1.39511,1
2020-08-04 13:36:12.855690,45001.0,45000.0,-1.3687989999999999,1
2020-08-04 13:36:12.863690,45001.0,45000.0,-1.403078,1
2020-08-04 13:36:12.869690,45001.0,45000.0,-1.362416,1
2020-08-04 13:36:12.875689,45001.0,45000.0,-1.383145,1
